id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_q1,home_q2,home_q3,home_q4,away_team,away_conference,away_points,away_q1,away_q2,away_q3,away_q4
400763413,2015,2,regular,2015-09-12T20:00:00.000Z,false,false,86458,3910,Darrell K Royal-Texas Memorial Stadium,Texas,Big 12,42,21,0,21,0,Rice,Conference USA,28,0,14,0,14
400757014,2015,2,regular,2015-09-12T20:00:00.000Z,false,false,72422,477,Los Angeles Memorial Coliseum,USC,Pac-12,59,21,17,14,7,Idaho,,9,0,3,6,0
400757018,2015,2,regular,2015-09-12T20:00:00.000Z,false,false,76526,3936,Spartan Stadium,Michigan State,Big Ten,31,7,7,10,7,Oregon,Pac-12,28,7,0,7,14
400763503,2015,2,regular,2015-09-12T20:00:00.000Z,false,false,89822,3834,Memorial Stadium,Nebraska,Big Ten,48,14,10,7,17,South Alabama,Sun Belt,9,0,0,3,6
400763501,2015,2,regular,2015-09-12T20:00:00.000Z,false,false,41509,3830,Memorial Stadium,Indiana,Big Ten,36,0,13,6,17,Florida International,Conference USA,22,7,7,0,8
400764862,2015,2,regular,2015-09-12T20:00:00.000Z,false,true,38112,3854,Nippert Stadium,Cincinnati,American Athletic,26,0,6,6,14,Temple,American Athletic,34,3,7,21,3
400764863,2015,2,regular,2015-09-12T20:00:00.000Z,false,false,24167,3971,University Stadium,New Mexico,Mountain West,21,14,0,7,0,Tulsa,American Athletic,40,10,10,10,10
400787415,2015,2,regular,2015-09-12T20:00:00.000Z,false,true,27201,3601,Aggie Memorial Stadium,New Mexico State,FBS Independents,32,7,6,6,13,Georgia State,Sun Belt,34,10,14,3,7
400603865,2015,2,regular,2015-09-12T21:15:00.000Z,false,true,62531,3693,Davis Wade Stadium,Mississippi State,SEC,19,0,3,3,13,LSU,SEC,21,14,0,7,0
400787118,2015,2,regular,2015-09-12T22:15:00.000Z,false,false,63470,3801,LaVell Edwards Stadium,BYU,FBS Independents,35,7,0,7,21,Boise State,Mountain West,24,7,3,14,0
400787117,2015,2,regular,2015-09-12T22:15:00.000Z,false,true,22389,3713,Falcon Stadium,Air Force,Mountain West,37,7,7,3,20,San José State,Mountain West,16,7,0,9,0
400757015,2015,2,regular,2015-09-12T22:30:00.000Z,false,false,31262,3914,Sam Boyd Stadium,UNLV,Mountain West,3,0,0,0,3,UCLA,Pac-12,37,10,7,17,3
400757023,2015,2,regular,2015-09-12T22:30:00.000Z,false,false,50420,3940,Stanford Stadium,Stanford,Pac-12,31,0,10,7,14,UCF,American Athletic,7,0,0,0,7
400756893,2015,2,regular,2015-09-12T23:00:00.000Z,false,false,46500,3947,Sun Devil Stadium,Arizona State,Pac-12,35,7,14,0,14,Cal Poly,,21,0,14,7,0
400756919,2015,3,regular,2015-09-17T19:30:00.000Z,false,true,55396,3873,Papa John's Cardinal Stadium,Louisville,ACC,17,0,3,7,7,Clemson,ACC,20,0,7,10,3
400756920,2015,3,regular,2015-09-18T20:00:00.000Z,false,true,39111,3615,Alumni Stadium,Boston College,ACC,0,0,0,0,0,Florida State,ACC,14,7,0,0,7
400787120,2015,3,regular,2015-09-18T21:00:00.000Z,false,false,33868,3653,Albertsons Stadium,Boise State,Mountain West,52,14,7,28,3,Idaho State,,0,0,0,0,0
400787241,2015,3,regular,2015-09-18T22:00:00.000Z,false,false,43310,3947,Sun Devil Stadium,Arizona State,Pac-12,34,0,10,14,10,New Mexico,Mountain West,10,0,0,10,0
400787310,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,16763,3768,Summa Field at InfoCision Stadium,Akron,Mid-American,52,7,21,10,14,Savannah State,,9,3,6,0,0
400763418,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,85657,3835,Gaylord Family Oklahoma Memorial Stadium,Oklahoma,Big 12,52,17,14,14,7,Tulsa,American Athletic,38,3,21,7,7
400603858,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,102591,3795,Kyle Field,Texas A&M,SEC,44,14,10,14,6,Nevada,Mountain West,27,7,3,10,7
400763511,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,108683,3558,Michigan Stadium,Michigan,Big Ten,28,7,14,0,7,UNLV,Mountain West,7,0,0,0,7
400763510,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,36827,3665,Maryland Stadium,Maryland,Big Ten,35,14,7,7,7,South Florida,American Athletic,17,7,3,7,0
400603856,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,70079,3838,Faurot Field,Missouri,SEC,9,2,0,7,0,Connecticut,American Athletic,6,6,0,0,0
400763512,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,74211,3936,Spartan Stadium,Michigan State,Big Ten,35,14,14,7,0,Air Force,Mountain West,21,7,0,7,7
400756930,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,29124,3841,Blaik Field at Michie Stadium,Army,FBS Independents,14,0,7,0,7,Wake Forest,ACC,17,0,0,7,10
400756924,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,41000,3787,Kenan Memorial Stadium,North Carolina,ACC,48,10,10,7,21,Illinois,Big Ten,14,0,7,0,7
400763600,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,15397,3715,FAU Stadium,Florida Atlantic,Conference USA,15,2,7,0,6,Buffalo,Mid-American,33,0,7,19,7
400763513,2015,3,regular,2015-09-19T12:00:00.000Z,false,false,52823,3953,TCF Bank Stadium,Minnesota,Big Ten,10,3,7,0,0,Kent State,Mid-American,7,0,0,7,0
400756927,2015,3,regular,2015-09-19T12:30:00.000Z,false,false,27949,1964,Carrier Dome,Syracuse,ACC,30,10,14,0,0,Central Michigan,Mid-American,27,3,7,7,7
400756921,2015,3,regular,2015-09-19T12:30:00.000Z,false,false,24127,3982,Wallace Wade Stadium,Duke,ACC,10,7,0,0,3,Northwestern,Big Ten,19,0,3,9,7
400787309,2015,3,regular,2015-09-19T14:00:00.000Z,false,false,22985,3876,Peden Stadium,Ohio,Mid-American,35,7,14,0,14,Southeastern Louisiana,,14,0,0,7,7
400757030,2015,3,regular,2015-09-19T14:00:00.000Z,false,false,56859,3626,Autzen Stadium,Oregon,Pac-12,61,13,20,14,14,Georgia State,Sun Belt,28,7,0,21,0
400763605,2015,3,regular,2015-09-19T14:30:00.000Z,false,true,19602,3825,Apogee Stadium,North Texas,Conference USA,24,3,7,7,7,Rice,Conference USA,38,0,17,21,0
400763417,2015,3,regular,2015-09-19T15:00:00.000Z,false,false,53540,3636,Bill Snyder Family Football Stadium,Kansas State,Big 12,39,3,3,7,10,Louisiana Tech,Conference USA,33,0,10,3,10
400764869,2015,3,regular,2015-09-19T15:00:00.000Z,false,false,10141,3738,Gillette Stadium,UMass,FBS Independents,23,0,17,0,6,Temple,American Athletic,25,7,10,3,5
400787311,2015,3,regular,2015-09-19T15:00:00.000Z,false,true,4463,3912,Rynearson Stadium,Eastern Michigan,Mid-American,17,3,14,0,0,Ball State,Mid-American,28,0,14,0,14
400764864,2015,3,regular,2015-09-19T15:00:00.000Z,false,false,21178,3700,Doyt Perry Stadium,Bowling Green,Mid-American,41,14,13,7,7,Memphis,American Athletic,44,10,7,17,10
400756928,2015,3,regular,2015-09-19T15:30:00.000Z,false,false,41881,3923,Scott Stadium,Virginia,ACC,35,7,14,14,0,William & Mary,,29,7,13,0,9
